record                           | 39                               | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 39                               | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 39                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
b5c6                             | 39                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 39                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
type                             | 40                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
record                           | 40                               | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#mark                            | 40                               | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 40                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
b5c7                             | 40                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 40                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
------                           | -1                               | eps                              | NaN                              | <declarations>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
b5                               | 44                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <assignmentStmt>                
<---                             | 44                               | TK_ASSIGNOP                      | NaN                              | <assignmentStmt>                 | Yes             | ------                          
1                                | 44                               | TK_NUM                           | 1                                | <all>                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <factor>                         | No              | <all>                           
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <factor>                        
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | -1                               | eps                              | NaN                              | <termPrime>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <arithmeticExpression>          
------                           | -1                               | eps                              | NaN                              | <expPrime>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
;                                | 44                               | TK_SEM                           | NaN                              | <assignmentStmt>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <otherStmts>                    
read                             | 45                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
(                                | 45                               | TK_OP                            | NaN                              | <ioStmt>                         | Yes             | ------                          
d5cb34567                        | 45                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
)                                | 45                               | TK_CL                            | NaN                              | <ioStmt>                         | Yes             | ------                          
;                                | 45                               | TK_SEM                           | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
b5c6                             | 46                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <singleOrRecId>                 
.                                | 46                               | TK_DOT                           | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
maths                            | 46                               | TK_FIELDID                       | NaN                              | <new_24>                         | Yes             | ------                          
